Date,Tipo
Jun 2012,13.4084
Jul 2012,13.2833
Ago 2012,13.2571
Sep 2012,12.8695
Oct 2012,13.0911
Nov 2012,12.9268
Dic 2012,12.9658
Ene 2013,12.7094
Feb 2013,12.7795
Mar 2013,12.3612
Abr 2013,12.1456
May 2013,12.8035
Jun 2013,13.0279
Jul 2013,12.8464
Ago 2013,13.3415
Sep 2013,13.1747
Oct 2013,13.0067
Nov 2013,13.1101
Dic 2013,13.0843
Ene 2014,13.3769
Feb 2014,13.2379
Mar 2014,13.0549
Abr 2014,13.0901
May 2014,12.8609
Jun 2014,12.9712
Jul 2014,13.2269
Ago 2014,13.0763
Sep 2014,13.4330
Oct 2014,13.4773
Nov 2014,13.8965
Dic 2014,14.7414
Ene 2015,14.9885
Feb 2015,14.9553
Mar 2015,15.2647
Abr 2015,15.3714
May 2015,15.3815
Jun 2015,15.6854
Jul 2015,16.0772
Ago 2015,16.7829
Sep 2015,16.9053
Oct 2015,16.5244
Nov 2015,16.5856
Dic 2015,17.2487
Ene 2016,18.1935
Feb 2016,18.1020
Mar 2016,17.2370
Abr 2016,17.1767
May 2016,18.4118
Jun 2016,18.4646
Jul 2016,18.7837
Ago 2016,18.8611
Sep 2016,19.3776
Oct 2016,18.8887
Nov 2016,20.5155
Dic 2016,20.6194
