IGAE
64
64.6
68.1
64.3
66.4
65.9
66.3
65.6
65.4
66.3
68
70.2
66.6
66.6
69.9
68.1
69.8
69.9
68.3
69.5
69.1
70.6
72.6
72.2
69
64.5
67.4
62.3
64.3
64.4
63.4
64.9
64.3
64
67.4
69.4
68.3
67
69.1
66.3
69.3
68.5
69.2
68.7
68.2
71.4
72.9
73.4
71.8
69.9
71.6
72.9
74.4
74.1
74.3
73.9
74.3
77.4
77.5
78.2
76
75.1
79.7
75.4
78
77.9
78.2
77.2
77.2
78.3
79.1
80.2
78.3
76.5
81.4
76.6
79.8
79.7
80
79.4
79.6
80.5
82.6
83
82.2
81.7
85.1
79.8
85.7
85.3
83.4
85.3
84.1
85.3
86
84.5
83.4
80.5
85.4
80.2
84.9
84.3
83.4
84.6
82.2
84.4
85.2
83.9
82
79.6
82
83.8
85.5
83.6
84.2
84.5
82.3
86
84.9
85.3
83.9
81.9
85.3
82.9
85.7
85.3
85.1
83.7
83.2
86.5
85.9
88.2
86.4
85.3
90.2
86.4
88.7
89.3
87.8
87.7
86.9
89.7
91.4
91.8
88.7
87.4
89.8
90.8
92.1
91
89.3
91.8
90.2
92.8
94.8
95.3
93.7
90.8
96.5
92.2
98
96.9
94.7
96.6
94.3
97.9
98.3
98.2
96.5
93.4
99.2
95.3
100.1
99.7
98.6
99.5
96.7
102.5
101.7
101.1
99.8
97.7
97.8
101.1
101.6
101.2
101.6
99.6
98.1
102.3
99.9
99.5
93.5
91.1
95.2
91.5
93.2
95.3
96.4
94.4
94.7
98.6
99.6
100.3
95.3
94
100.8
97.3
100.3
101.2
100.6
100.7
99.9
102.9
104.8
104.7
99.9
98.1
105.2
99.9
104.3
104.3
104.2
105.5
104.2
107.5
109.7
108.8
104.6
104.4
109
104
109.4
109.1
108.6
109.1
106.2
111.7
114.7
111.3
108.1
105.3
107.8
108.5
110.9
108.7
111
110.5
107.5
113.5
115
113.2
