Fecha,Tipo de Cambio
Jun 2012,13.6652
Jul 2012,13.2837
Ago 2012,13.2746
Sep 2012,12.9170
Oct 2012,13.0900
Nov 2012,13.0372
Dic 2012,13.0101
Ene 2013,12.7134
Feb 2013,12.8680
Mar 2013,12.3579
Abr 2013,12.1550
May 2013,12.6328
Jun 2013,13.1884
Jul 2013,12.7321
Ago 2013,13.2539
Sep 2013,13.0119
Oct 2013,12.8903
Nov 2013,13.0925
Dic 2013,13.0765
Ene 2014,13.3671
Feb 2014,13.2992
Mar 2014,13.0837
Abr 2014,13.1356
May 2014,12.8660
Jun 2014,13.0323
Jul 2014,13.0578
Ago 2014,13.0811
Sep 2014,13.4541
Oct 2014,13.4239
Nov 2014,13.7219
Dic 2014,14.7180
Ene 2015,14.6878
Feb 2015,14.9228
Mar 2015,15.1542
Abr 2015,15.2225
May 2015,15.3581
Jun 2015,15.5676
Jul 2015,16.2140
Ago 2015,16.8863
Sep 2015,17.0073
Oct 2015,16.4503
Nov 2015,16.5492
Dic 2015,17.2065
Ene 2016,18.4530
Feb 2016,18.1680
Mar 2016,17.4015
Abr 2016,17.3993
May 2016,18.4527
Jun 2016,18.9113
Jul 2016,18.8602
Ago 2016,18.5773
Sep 2016,19.5002
Oct 2016,18.8443
