Dates,M1
1959Q1,139.70
1959Q2,141.20
1959Q3,141.00
1959Q4,140.00
1960Q1,139.80
1960Q2,139.60
1960Q3,141.20
1960Q4,140.70
1961Q1,141.90
1961Q2,142.90
1961Q3,143.80
1961Q4,145.20
1962Q1,146.00
1962Q2,146.60
1962Q3,146.30
1962Q4,147.80
1963Q1,149.20
1963Q2,150.40
1963Q3,152.00
1963Q4,153.30
1964Q1,154.50
1964Q2,155.60
1964Q3,158.70
1964Q4,160.30
1965Q1,161.50
1965Q2,162.20
1965Q3,164.90
1965Q4,167.80
1966Q1,170.50
1966Q2,171.60
1966Q3,172.00
1966Q4,172.00
1967Q1,174.80
1967Q2,177.00
1967Q3,180.70
1967Q4,183.30
1968Q1,185.50
1968Q2,189.40
1968Q3,192.70
1968Q4,197.40
1969Q1,200.00
1969Q2,201.30
1969Q3,202.10
1969Q4,203.90
1970Q1,205.70
1970Q2,207.60
1970Q3,211.80
1970Q4,214.40
1971Q1,218.80
1971Q2,223.50
1971Q3,226.50
1971Q4,228.30
1972Q1,234.30
1972Q2,236.60
1972Q3,243.20
1972Q4,249.20
1973Q1,251.70
1973Q2,256.70
1973Q3,257.90
1973Q4,262.90
1974Q1,266.70
1974Q2,268.50
1974Q3,271.00
1974Q4,274.20
1975Q1,276.40
1975Q2,282.40
1975Q3,285.70
1975Q4,287.10
1976Q1,292.70
1976Q2,296.20
1976Q3,299.60
1976Q4,306.20
1977Q1,313.90
1977Q2,318.80
1977Q3,324.50
1977Q4,330.90
1978Q1,337.00
1978Q2,346.90
1978Q3,352.20
1978Q4,357.30
1979Q1,362.50
1979Q2,373.40
1979Q3,379.30
1979Q4,381.80
1980Q1,388.40
1980Q2,389.10
1980Q3,404.80
1980Q4,408.50
1981Q1,419.00
1981Q2,425.20
1981Q3,427.00
1981Q4,436.70
1982Q1,442.70
1982Q2,447.50
1982Q3,456.90
1982Q4,474.80
1983Q1,490.60
1983Q2,504.00
1983Q3,512.80
1983Q4,521.40
1984Q1,531.40
1984Q2,540.20
1984Q3,543.10
1984Q4,551.60
1985Q1,566.60
1985Q2,582.30
1985Q3,603.30
1985Q4,619.80
1986Q1,633.50
1986Q2,660.60
1986Q3,687.40
1986Q4,724.70
1987Q1,733.80
1987Q2,743.20
1987Q3,747.60
1987Q4,750.20
1988Q1,761.80
1988Q2,778.30
1988Q3,783.70
1988Q4,786.70
1989Q1,783.00
1989Q2,773.50
1989Q3,781.00
1989Q4,792.90
1990Q1,801.60
1990Q2,808.90
1990Q3,820.10
1990Q4,824.70
1991Q1,838.80
1991Q2,856.70
1991Q3,870.20
1991Q4,897.00
1992Q1,936.70
1992Q2,954.30
1992Q3,988.10
1992Q4,"1,024.90"
1993Q1,"1,038.60"
1993Q2,"1,075.10"
1993Q3,"1,104.20"
1993Q4,"1,129.60"
1994Q1,"1,140.20"
1994Q2,"1,145.10"
1994Q3,"1,151.90"
1994Q4,"1,150.60"
1995Q1,"1,146.70"
1995Q2,"1,144.20"
1995Q3,"1,141.90"
1995Q4,"1,127.50"
1996Q1,"1,122.50"
1996Q2,"1,115.10"
1996Q3,"1,096.10"
1996Q4,"1,081.50"
1997Q1,"1,072.10"
1997Q2,"1,065.70"
1997Q3,"1,067.70"
1997Q4,"1,072.80"
1998Q1,"1,077.20"
1998Q2,"1,076.80"
1998Q3,"1,080.40"
1998Q4,"1,095.80"
1999Q1,"1,097.70"
1999Q2,"1,099.80"
1999Q3,"1,097.10"
1999Q4,"1,122.40"
2000Q1,"1,108.10"
2000Q2,"1,103.20"
2000Q3,"1,099.60"
2000Q4,"1,087.20"
2001Q1,"1,109.70"
2001Q2,"1,126.70"
2001Q3,"1,205.00"
2001Q4,"1,182.10"
2002Q1,"1,192.60"
2002Q2,"1,193.00"
2002Q3,"1,195.70"
2002Q4,"1,219.70"
2003Q1,"1,239.00"
2003Q2,"1,281.00"
2003Q3,"1,297.70"
2003Q4,"1,306.50"
2004Q1,"1,329.60"
2004Q2,"1,343.20"
2004Q3,"1,362.60"
2004Q4,"1,376.40"
2005Q1,"1,372.00"
2005Q2,"1,379.70"
2005Q3,"1,378.20"
2005Q4,"1,374.90"
2006Q1,"1,382.90"
2006Q2,"1,373.40"
2006Q3,"1,362.60"
2006Q4,"1,366.30"
2007Q1,"1,366.40"
2007Q2,"1,364.90"
2007Q3,"1,373.40"
2007Q4,"1,373.60"
2008Q1,"1,386.70"
2008Q2,"1,399.00"
2008Q3,"1,461.00"
2008Q4,"1,602.80"
2009Q1,"1,577.50"
2009Q2,"1,651.80"
2009Q3,"1,665.80"
2009Q4,"1,693.60"
2010Q1,"1,712.00"
2010Q2,"1,722.80"
2010Q3,"1,769.20"
2010Q4,"1,828.30"
2011Q1,"1,888.20"
2011Q2,"1,945.10"
2011Q3,"2,122.70"
2011Q4,"2,161.20"
2012Q1,"2,223.80"
2012Q2,"2,267.90"
2012Q3,"2,375.70"
2012Q4,"2,447.20"
2013Q1,"2,466.80"
2013Q2,"2,529.10"
2013Q3,"2,587.00"
2013Q4,"2,660.50"
2014Q1,"2,746.10"
2014Q2,"2,820.80"
2014Q3,"2,869.60"
2014Q4,"2,927.30"
2015Q1,"2,990.20"
2015Q2,"3,015.00"
2015Q3,"3,055.50"
2015Q4,"3,079.70"
2016Q1,"3,144.60"
2016Q2,"3,231.10"
2016Q3,"3,317.90"
